2022-11-15 15:15:20,480 - root - INFO - We are starting the data analysis in Jupyter Notebook
2022-11-15 15:15:34,610 - matplotlib.pyplot - DEBUG - Loaded backend module://matplotlib_inline.backend_inline version unknown.
2022-11-15 15:15:34,613 - root - INFO - We are starting the data analysis in Jupyter Notebook
2022-11-15 15:15:34,613 - root - INFO - We are starting the data analysis in Jupyter Notebook
2022-11-15 15:15:35,232 - root - INFO - From here we will analyze the data
2022-11-15 15:15:35,232 - root - INFO - From here we will analyze the data
2022-11-15 15:15:37,226 - root - INFO - Using visualization for better undertanding
2022-11-15 15:15:37,226 - root - INFO - Using visualization for better undertanding
2022-11-15 15:15:37,624 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2022-11-15 15:15:37,629 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-15 15:15:37,629 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-15 15:15:37,629 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-15 15:15:37,630 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-11-15 15:15:37,630 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2022-11-15 15:15:37,630 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-15 15:15:37,630 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-15 15:15:37,631 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-15 15:15:37,631 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2022-11-15 15:15:37,632 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='d:\\EndtoEndprojects\\CreditCardDefaultPrediction\\venv\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
